kategori,nama_makanan,protein_g,karbohidrat_g,lemak_g,serat_g,gula_g,kalori
infant formula,"infant formula, powder, made with tap water (enfamil a.r.)",1.6,7.4,3.2,0,7.2,65.3
infant formula,"infant formula, ns as to form (enfamil enfacare)",2,7.4,3.8,0,7.4,71.8
infant formula,"infant formula, ready-to-feed (enfamil enfacare)",2,7.4,3.8,0,7.4,71.8
infant formula,"infant formula, powder, made with water, nfs (enfamil enfacare)",2,7.4,3.8,0,7.4,71.8
infant formula,"infant formula, powder, made with plain bottled water (enfamil a.r.)",1.6,7.4,3.2,0,7.2,65.3
infant formula,"infant formula, powder, made with baby water (enfamil a.r.)",1.6,7.4,3.2,0,7.2,65.3
infant formula,"infant formula, ns as to form (enfamil gentlease)",1.5,7.2,3.5,0,7.2,66.5
infant formula,"infant formula, ready-to-feed (enfamil gentlease)",1.5,7.2,3.5,0,7.2,66.5
infant formula,"infant formula, powder, made with water, nfs (enfamil gentlease)",1.5,7.2,3.5,0,7.2,66.5
infant formula,"infant formula, powder, made with tap water (enfamil enfacare)",2,7.4,3.8,0,7.4,71.8
infant formula,"infant formula, powder, made with plain bottled water (enfamil enfacare)",2,7.4,3.8,0,7.4,71.8
infant formula,"infant formula, powder, made with baby water (enfamil enfacare)",2,7.4,3.8,0,7.4,71.8
infant formula,"infant formula, powder, made with tap water (enfamil gentlease)",1.5,7.2,3.5,0,7.2,66.5
infant formula,"infant formula, powder, made with plain bottled water (enfamil gentlease)",1.5,7.2,3.5,0,7.2,66.5
infant formula,"infant formula, powder, made with baby water (enfamil gentlease)",1.5,7.2,3.5,0,7.2,66.5
infant formula,"infant formula, ns as to form (enfamil enfagrow toddler transitions)",1.7,7.4,3.6,0,7,68.4
infant formula,"infant formula, ready-to-feed (enfamil enfragrow toddler transitions)",1.7,7.4,3.6,0,7,68.4
infant formula,"infant formula, powder, made with water, nfs (enfamil enfragrow toddler transitions)",3,13.1,6.3,0,12.4,120.8
infant formula,"infant formula, powder, made with tap water (enfamil enfagrow toddler transitions)",1.7,7.4,3.6,0,7,68.4
infant formula,"infant formula, powder, made with plain bottled water (enfamil enfagrow toddler transitions)",1.7,7.4,3.6,0,7,68.4
infant formula,"infant formula, powder, made with baby water (enfamil enfagrow toddler transitions)",1.7,7.4,3.6,0,7,68.4
infant formula,"infant formula, ns as to form (enfamil enfagrow toddler transitions gentlease)",1.7,6.9,3.4,0,6.9,65.2
infant formula,"infant formula, powder, made with water, nfs (enfamil enfagrow toddler transitions gentlease)",1.7,6.9,3.4,0,6.9,65.2
infant formula,"infant formula, powder, made with tap water (enfamil enfagrow toddler transitions gentlease)",1.7,6.9,3.4,0,6.9,65.2
infant formula,"infant formula, powder, made with plain bottled water (enfamil enfagrow toddler transitions gentlease)",1.7,6.9,3.4,0,6.9,65.2
infant formula,"infant formula, powder, made with baby water (enfamil enfagrow toddler transitions gentlease)",1.7,6.9,3.4,0,6.9,65.2
infant formula,"infant formula, ns as to form (pediasure)",2.9,11.2,4.8,0,10.5,99
infant formula,"infant formula, ready-to-feed (pediasure)",2.9,11.2,4.8,0,10.5,99
